,antecedents,consequents,support,confidence,lift
216,frozenset({'Gnar'}),"frozenset({'top', 'win'})",0.010286563936198973,0.5297598329272538,6.357633618291547
240,frozenset({'Leona'}),"frozenset({'Red', 'sup'})",0.012550689375506893,0.5265097816841509,6.31811738020981
124,frozenset({'Alistar'}),"frozenset({'win', 'sup'})",0.010110840767775074,0.5249122807017544,6.29945827339051
213,frozenset({'Gnar'}),"frozenset({'top', 'no_fb'})",0.01728169775615031,0.8900104420466413,6.287225829802867
493,"frozenset({'lose', ""Kai'Sa""})","frozenset({'bot', 'no_fb'})",0.012138415788050824,0.8475696083058046,6.234161823669062
121,frozenset({'Alistar'}),"frozenset({'no_fb', 'sup'})",0.015639361989726954,0.8119298245614036,6.225482553873932
231,"frozenset({""Kai'Sa""})","frozenset({'win', 'bot'})",0.015463638821303055,0.5187032418952618,6.224943764362313
255,frozenset({'Orianna'}),"frozenset({'no_fb', 'mid'})",0.015470397404703974,0.8631221719457014,6.184385305621597
495,"frozenset({'no_fb', ""Kai'Sa""})","frozenset({'lose', 'bot'})",0.012138415788050824,0.5102272727272726,6.1222307414424835
127,frozenset({'Aphelios'}),"frozenset({'bot', 'no_fb'})",0.013652338469856718,0.8302507192766132,6.106775523173975
340,frozenset({'Thresh'}),"frozenset({'win', 'sup'})",0.010604217356042174,0.5053140096618358,6.064259945621318
407,"frozenset({'no_fb', ""Kai'Sa""})","frozenset({'Blue', 'bot'})",0.01201000270343336,0.5048295454545455,6.057954545454546
349,frozenset({'Varus'}),"frozenset({'bot', 'no_fb'})",0.010773181941065153,0.8233471074380164,6.0559971175446865
130,"frozenset({""Kai'Sa""})","frozenset({'Blue', 'bot'})",0.015037848067045147,0.5044207662661527,6.053049195193833
258,frozenset({'Thresh'}),"frozenset({'Red', 'sup'})",0.010577183022438498,0.5040257648953301,6.048309178743962
503,"frozenset({""Kai'Sa""})","frozenset({'win', 'bot', 'no_fb'})",0.011618004866180049,0.38970754930854684,6.047312951829323
